Card 1,Card 2,Card 3,Score
3c,6c,Kc,0.425178282
6s,9s,Ah,0.425152523
7d,Ac,Qd,0.425119425
7d,Ah,Ks,0.425114613
3h,As,Qh,0.425051609
9h,As,Qh,0.425013675
4d,4h,6d,0.424897079
4c,4s,Js,0.424885884
9d,As,Td,0.424876474
6d,Ad,Qh,0.424876474
8d,Ah,Ks,0.424870132
6h,Jh,Th,0.424825729
4c,4d,5d,0.424756936
3d,Ah,Qd,0.424665854
7c,Ad,Qs,0.424665854
4c,4s,Kh,0.424635567
9c,Jh,Kh,0.424567971
8d,Ac,Tc,0.424539359
9c,Ah,Js,0.424539359
4d,4h,Jh,0.424462493
4c,4h,Jd,0.424438681
9h,Qs,Th,0.424412717
3c,3h,7h,0.424392312
4c,4h,5c,0.424389830
9h,Kh,Td,0.424384298
5s,Ad,Kh,0.424361155
9d,Ks,Qd,0.424361155
7s,9c,As,0.424339274
9c,Qd,Ts,0.424252275
9d,Ac,Qs,0.424222849
Kd,Qd,Ts,0.424222849
9h,Jd,Ts,0.424176437
4s,As,Kd,0.424147532
7c,9d,As,0.424087104
2c,Ac,Jd,0.424072865
4c,4h,Kc,0.424072865
8h,Ah,Tc,0.424058499
5c,Ac,Jd,0.424029378
8s,Ks,Qh,0.424029378
8h,Ac,Kd,0.424029378
7c,Ah,Kc,0.423958064
4s,Ad,Ks,0.423938775
9h,Ks,Qd,0.423908373
6h,8h,Th,0.423897532
Jc,Kh,Th,0.423897532
5s,Ah,Js,0.423834758
7s,Ad,Td,0.423812697
9c,Kd,Qc,0.423802492
8s,Ad,Ts,0.423757864
8d,As,Kd,0.423736114
5s,Ad,Jd,0.423693838
9d,Ad,Th,0.423690109
3c,7c,Kc,0.423686581
8h,Ac,Js,0.423650434
8c,Kd,Qc,0.423621956
4d,Ah,Kh,0.423594365
3d,Ah,Jh,0.423594365
4c,4d,6d,0.423590527
3d,Ah,Kh,0.423558555
2s,5d,5h,0.423558555
5d,6d,Ad,0.423524149
7h,Ad,Qs,0.423453397
8s,9d,Ts,0.423424938
3c,Ac,Kd,0.423370551
9s,Jh,Ks,0.423318268
9h,Kc,Qc,0.423303598
9h,Jc,Kh,0.423269256
9s,Qd,Td,0.423198764
4c,4h,5s,0.423159184
2c,Kc,Tc,0.423151320
4h,9h,Jh,0.423137502
5d,5h,8c,0.423125754
5h,Qh,Th,0.423077427
4c,4d,6s,0.423026471
5d,7d,8d,0.423019459
8c,Ah,Qd,0.423011216
5c,8c,Qc,0.423003731
3c,3h,Ah,0.422981821
4d,4h,8c,0.422944504
9d,Qh,Th,0.422931289
3s,5h,5s,0.422886421
4d,4s,7d,0.422867894
8c,Ah,Qs,0.422828567
9c,Ah,Kc,0.422785576
6c,Ac,Qs,0.422747774
6c,Ah,Ks,0.422735223
4h,Ad,Qh,0.422729945
6s,As,Qd,0.422729945
2c,6d,6s,0.422689072
7s,Ac,Jd,0.422689072
9h,Jd,Qh,0.422680280
9s,Jd,Ks,0.422672516
6d,As,Jd,0.422672516
9c,Ks,Ts,0.422631542
6h,Ah,Qs,0.422631542
5d,9d,Kd,0.422620943
9d,Ac,Ks,0.422620943
4c,4s,5h,0.422605086
4c,4h,Ad,0.422601444
6c,7c,Kc,0.422506857
4c,8c,Kc,0.422447507
8s,9s,Ah,0.422392020
2c,Ac,Qh,0.422302914
9s,Qs,Th,0.422284329
4h,4s,Js,0.422284329
Js,Kd,Tc,0.422187813
7h,Ah,Kc,0.422187813
6s,8s,Ts,0.422142784
7c,Ah,Qh,0.422136541
4d,Ad,Qc,0.422086260
9h,Js,Qd,0.422086260
5c,Ah,Qs,0.422055097
8h,9h,Td,0.422045679
7s,9s,Ts,0.422045679
9s,Qh,Ts,0.421995413
7d,Ac,Jc,0.421951553
4d,4s,8s,0.421851224
8s,Ah,Ts,0.421803851
9h,Ah,Kd,0.421803851
2s,5d,5s,0.421803851
3d,Ac,Kc,0.421803851
9s,Ah,Th,0.421753774
2s,Ac,Ks,0.421711789
7d,8d,Qd,0.421704715
8s,Jh,Ks,0.421662038
4c,4s,Ts,0.421659391
4s,5d,5s,0.421650825
3d,3s,7d,0.421616583
3h,6c,6d,0.421571993
8d,Ac,Js,0.421563349
8h,9h,Ad,0.421549103
3h,Ad,Th,0.421533063
5h,Ah,Kc,0.421518069
8c,Ah,Tc,0.421512694
9c,Kh,Qc,0.421454507
9c,Qd,Th,0.421312962
3d,4d,4h,0.421310402
9s,Ah,Td,0.421276481
5c,Ac,Qd,0.421256128
5d,As,Ks,0.421181276
8h,Ac,Ts,0.421169503
9h,Ad,Qs,0.421169503
4d,4s,6h,0.421072724
3h,Ad,Kh,0.421059544
6d,Ac,Qh,0.421028805
7c,Ah,Ks,0.421020501
3c,3d,Td,0.420982189
4d,4s,Jh,0.420976160
3h,3s,6h,0.420943702
8s,As,Jc,0.420919622
9h,Kh,Qc,0.420913376
8h,Ad,Ts,0.420902462
3h,4h,4s,0.420902462
6h,Ad,Kc,0.420896904
2s,6d,6h,0.420858429
2c,6h,6s,0.420765006
8d,Ah,Jc,0.420765006
9h,Kh,Qs,0.420763101
9d,Ah,Qs,0.420728206
8s,Ac,Qs,0.420728206
7c,As,Jh,0.420650705
8d,As,Jh,0.420614382
8d,Ac,Jd,0.420568840
6s,9d,Ad,0.420543824
9c,Kh,Tc,0.420532326
8d,Ks,Qs,0.420520617
4c,Ac,Js,0.420496538
6h,Kd,Qd,0.420471539
6s,Ac,Kc,0.420471539
8h,Ac,Qc,0.420461455
4h,4s,Ac,0.420418558
7s,Ac,Tc,0.420409648
6d,As,Kh,0.420333694
6s,Ah,Qh,0.420333694
6c,7c,Qc,0.420306169
4d,4h,Ts,0.420268718
8s,Js,Tc,0.420148470
4s,Ah,Qh,0.420084516
7c,9h,Ac,0.420054820
4h,4s,6s,0.420053038
6d,9d,Qd,0.420051150
9s,Kh,Tc,0.419962262
2d,Ad,Qh,0.419962262
6d,Ad,Kh,0.419953108
7h,9h,Jh,0.419898635
5c,As,Js,0.419847315
7c,Ah,Js,0.419740058
6c,Ad,Js,0.419729032
6c,Ad,Jd,0.419659420
5d,Ac,Jc,0.419646428
9d,As,Jd,0.419646428
9d,Kc,Th,0.419605586
3s,Ac,Qs,0.419594015
7h,Ah,Qs,0.419590348
4d,Ah,Td,0.419590348
6s,8s,Js,0.419546337
3d,3s,Js,0.419536537
9d,Ac,Qh,0.419527478
6c,Ac,Js,0.419510439
9h,Ad,Kc,0.419484859
9d,Qh,Tc,0.419477891
6s,Js,Ts,0.419466235
8s,Jd,Ts,0.419459781
7h,As,Td,0.419440613
7d,9d,Ac,0.419369522
9h,Js,Kc,0.419366762
9s,Ah,Kd,0.419319895
7c,Ac,Td,0.419275587
9c,Qc,Td,0.419273946
9c,As,Jc,0.419251210
6s,As,Qc,0.419249411
8d,Kh,Qd,0.419249411
8s,Ad,Qh,0.419176752
8h,Ac,Jd,0.419102767
3h,Ac,Kc,0.419088918
4h,4s,Kh,0.419088918
4d,4s,9h,0.419068022
9h,Ac,Ts,0.419047527
6s,Ah,Qd,0.419037863
9h,Kc,Td,0.419005918
3h,7h,Ah,0.418996705
3d,3h,7d,0.418984851
7s,Js,Ts,0.418964207
4d,4s,7s,0.418943974
4d,Ad,Qs,0.418943974
3c,3d,Kd,0.418937896
4h,4s,7c,0.418937896
8c,As,Js,0.418924140
9d,Js,Qs,0.418924140
9s,Kh,Qd,0.418885620
8s,Ad,Qs,0.418869563
4d,Kd,Td,0.418850293
3h,Ac,Qs,0.418794712
3h,5c,5s,0.418759412
4c,4d,8d,0.418711631
9s,Ah,Jh,0.418680907
3c,Ac,Js,0.418680907
9s,Ad,Kh,0.418674116
5d,Kh,Qd,0.418670451
4d,4s,7h,0.418670451
9s,Ks,Tc,0.418655945
Jc,Ks,Th,0.418646532
5s,As,Qc,0.418638148
2h,5c,5s,0.418603633
8c,Ah,Th,0.418570486
5d,Ah,Qd,0.418524959
8c,9d,Ah,0.418508863
7c,Ad,Tc,0.418493089
8s,Ac,Qd,0.418476670
7h,Ad,Ts,0.418429420
9h,Ks,Qc,0.418404686
7s,Js,Qs,0.418399492
9d,Jd,Ks,0.418384971
2d,5d,5h,0.418348526
5c,Jc,Qc,0.418334097
5s,As,Kd,0.418306102
7c,Kd,Qd,0.418238990
2s,Ac,Qc,0.418209000
7d,As,Ts,0.418200269
9d,Js,Kh,0.418156545
9s,Jc,Qc,0.418140586
4d,4s,Qs,0.418096730
8d,9c,Ac,0.418060882
5h,5s,Jc,0.418049417
8h,As,Qh,0.418027170
5s,6c,6d,0.418027170
4d,4h,7d,0.418016375
3h,As,Qs,0.418005790
8c,Kc,Qd,0.418005790
4h,Jh,Qh,0.417944675
7h,9h,Kc,0.417944675
4d,4h,Kh,0.417924729
7s,Ah,Td,0.417915048
9c,Kd,Qd,0.417905552
8d,Ah,Qh,0.417889824
9s,Kh,Ts,0.417775194
6h,As,Qd,0.417767500
8c,9s,Ac,0.417758283
2d,2s,Qd,0.417742036
3s,4d,4s,0.417742036
8c,Ad,Jh,0.417726414
4s,Js,Ts,0.417643992
4h,As,Kc,0.417643992
5c,Ac,Jh,0.417599451
8c,9d,Th,0.417579200
9s,Kd,Td,0.417548039
7d,Ad,Js,0.417542162
9c,Ad,Jc,0.417503106
7s,As,Kc,0.417474812
6h,9h,Ac,0.417459137
5h,As,Kh,0.417402085
5s,Ac,Qh,0.417397286
4s,5s,7s,0.417392584
6h,Ah,Ts,0.417370423
8s,Ac,Ts,0.417299588
7s,9s,Js,0.417227734
4d,7d,Qd,0.417218388
6d,9d,Jd,0.417215401
5h,Ah,Qd,0.417212475
8c,9d,Ts,0.417204047
9h,Kh,Qd,0.417183848
7d,Jc,Kc,0.417114219
7c,As,Qh,0.417114219
8d,Kc,Td,0.417112388
4d,Ad,Jh,0.417110592
8c,9d,Qc,0.417110592
5h,Ad,Td,0.417024697
6h,9h,Th,0.417016621
9c,Jd,Kd,0.416929673
5c,As,Tc,0.416929673
7h,8c,Ac,0.416929673
3s,Js,Ts,0.416841241
6s,Ac,Ks,0.416839509
5s,Ah,Qd,0.416833880
7s,Ah,Qs,0.416832873
3c,Ac,Kh,0.416751286
3h,Ah,Qd,0.416738308
9s,Jh,Kc,0.416664941
7h,Ad,Qh,0.416654387
9c,Ac,Qh,0.416566646
8h,Ad,Th,0.416547825
4d,Ac,Ks,0.416485140
8s,Ah,Jc,0.416480805
6c,Ad,Qd,0.416471877
9s,Ad,Kc,0.416467279
9s,Jc,Ks,0.416432308
2s,5c,5s,0.416406891
5c,6c,6h,0.416391615
2c,3c,Ac,0.416386322
7s,Ac,Kc,0.416369801
8d,Ac,Qc,0.416352244
9h,Jd,Ks,0.416302617
2d,7d,Ad,0.416270551
3d,3h,Qd,0.416263741
9s,Qd,Ts,0.416263741
Jd,Kh,Ts,0.416253257
8c,Ah,Td,0.416220702
9d,Kh,Ts,0.416192311
8d,9s,Th,0.416177246
6c,Ac,Kh,0.416177246
5h,Ah,Qc,0.416169480
3s,Ah,Js,0.416153458
8h,Jc,Qh,0.416153458
9h,Jd,Kh,0.416145190
7s,Ah,Tc,0.416132933
6d,Ah,Jd,0.416117310
8s,9h,Ac,0.416084153
3s,4c,4s,0.416036774
4h,4s,7h,0.416036774
9d,Jh,Kd,0.416028030
8h,Ah,Jd,0.416028030
9c,Ah,Th,0.415991270
8s,Qc,Tc,0.415971742
2d,6d,Ad,0.415908989
3h,6h,Ah,0.415890664
5c,Ad,Jh,0.415887992
3c,3h,Kc,0.415870746
7c,Ad,Qc,0.415860499
7c,Ah,Tc,0.415817445
2d,4c,4h,0.415817445
9c,Jh,Tc,0.415817445
5c,5s,9h,0.415794591
9d,Jc,Qc,0.415783723
3s,As,Kh,0.415770778
5s,Ah,Kc,0.415726105
3s,Ad,Qd,0.415713879
3h,As,Th,0.415647845
8s,As,Jd,0.415594743
5h,Ad,Qc,0.415557802
9s,Ad,Qs,0.415544037
8c,As,Qc,0.415529994
8d,Ac,Kc,0.415496401
4h,8h,Qh,0.415437473
3c,9h,Ah,0.415423109
9s,Kc,Qh,0.415391650
9s,Ad,Tc,0.415362780
6c,Ac,Qd,0.415362780
2d,Qd,Td,0.415346935
2c,4c,4h,0.415288861
5s,As,Jd,0.415272453
3d,4d,4s,0.415249460
2s,Ac,Qd,0.415179704
4c,4d,Qc,0.415146707
4d,9d,Qd,0.415145798
6s,As,Td,0.415092400
7h,9h,Ac,0.414971625
3d,3h,Jd,0.414864881
9d,Ah,Tc,0.414851061
8s,Qh,Ts,0.414807505
4s,5s,Ks,0.414798200
4c,4s,Th,0.414798200
6d,As,Kc,0.414785035
4c,4d,9h,0.414781078
3d,5c,5s,0.414713623
9c,Jh,Kd,0.414690186
9h,Jc,Tc,0.414668182
4h,As,Qh,0.414667256
4c,4h,As,0.414647484
6h,9d,Ah,0.414562215
3d,Ad,Tc,0.414539451
8h,9c,Kh,0.414492584
3d,Ad,Kc,0.414484285
3c,3d,8d,0.414443842
7d,Ah,Qd,0.414443842
9h,Ac,Td,0.414433281
4s,Ad,Kc,0.414366961
4d,6d,Ad,0.414343054
2h,4c,4s,0.414317750
4c,6c,Qc,0.414302144
5h,5s,8s,0.414302144
9c,Kd,Qh,0.414265627
2d,4d,4s,0.414248367
9d,Qc,Ts,0.414222938
4s,As,Th,0.414219266
5c,Ah,Kd,0.414203982
3h,6d,6s,0.414149102
9h,Jh,Qc,0.414088200
2h,Ah,Kd,0.414088200
4h,Ac,Ks,0.414088200
9c,Kd,Qs,0.413998897
8d,Qd,Th,0.413998066
4c,Ac,Jd,0.413970351
4c,4d,Ah,0.413970351
4c,Ac,Ks,0.413970351
4c,5h,5s,0.413970351
9d,Qc,Th,0.413941243
2h,5c,5h,0.413909681
8s,Ad,Jh,0.413907683
7c,Ac,Th,0.413854046
3c,7c,Ac,0.413823527
7d,Kd,Qh,0.413818850
9h,Qd,Tc,0.413818850
7c,9d,Ah,0.413792396
3h,3s,5h,0.413767039
4c,4s,6c,0.413760635
7d,Kc,Qc,0.413735691
8s,Jc,Ts,0.413728225
8h,Jh,Qd,0.413671094
3d,3s,Ah,0.413648049
4h,7h,Kh,0.413648049
5d,As,Js,0.413645547
7h,Kd,Qs,0.413603829
8d,Ad,Tc,0.413603829
5d,5s,Jh,0.413572830
8h,Kd,Td,0.413520834
3d,As,Qh,0.413507153
6d,As,Qc,0.413492613
9h,Jc,Kd,0.413477131
6h,7h,Kh,0.413420900
6h,7h,Th,0.413367774
5c,7c,Kc,0.413278170
8h,9s,As,0.413240655
9c,Ks,Qd,0.413199595
4h,4s,Kc,0.413188769
4c,4h,5d,0.413175748
8c,9s,Td,0.413151281
7d,Ac,Tc,0.413099570
3c,3d,Ah,0.413060309
7c,9d,Ad,0.413030331
7c,Ah,Jh,0.412992432
4c,4d,5s,0.412979322
9c,Jc,Th,0.412961940
5h,8s,Ah,0.412953790
7h,As,Kc,0.412914381
6s,As,Kc,0.412914381
8h,As,Th,0.412887672
7d,Jd,Kc,0.412867858
3c,Ad,Qd,0.412822338
4s,9d,As,0.412782114
9c,Qd,Tc,0.412748612
7s,As,Jc,0.412744773
3d,9d,Kd,0.412737565
9c,Qc,Ts,0.412702070
5h,Ad,Jd,0.412699255
9h,Ah,Jc,0.412654736
8d,Ac,Qh,0.412654736
7s,8s,Ts,0.412613995
6s,As,Jd,0.412612081
2c,5h,5s,0.412568567
3c,Ad,Ks,0.412568567
4d,4s,Jc,0.412568567
4c,4d,9s,0.412568567
9d,Kh,Qs,0.412522172
7h,Ah,Td,0.412484339
9d,Ac,Qc,0.412482587
8c,Kh,Qs,0.412480759
5d,Ac,Jd,0.412480759
8d,Jh,Td,0.412478853
9s,Ac,Qh,0.412400293
3c,3h,Ad,0.412396794
4c,As,Kc,0.412389343
9c,Ac,Ts,0.412356175
8d,As,Qc,0.412347066
4d,4h,Jc,0.412342212
7c,Ad,Kc,0.412305732
4s,Ah,Kh,0.412265311
4d,4h,6h,0.412252035
9d,Qd,Tc,0.412244951
6s,Ad,Kd,0.412218511
9c,Ad,Td,0.412210936
3h,4c,4d,0.412194758
2h,9h,Qh,0.412179096
3d,3h,5h,0.412131485
8d,Ac,Th,0.412121158
3h,4c,4h,0.412093072
5d,7d,Jd,0.412082909
6h,Ac,Qd,0.412072303
7h,Ac,Jh,0.412016306
7c,Ah,Qs,0.412009185
6s,Ac,Tc,0.412007236
7h,Kd,Qd,0.411982746
7c,Ad,Ks,0.411941725
9d,Kc,Qs,0.411921589
2s,Ah,Kc,0.411899771
8c,Jc,Td,0.411846175
9c,Js,Kd,0.411783568
8s,Ad,Qd,0.411651901
6s,9h,Ah,0.411626568
2s,Ah,Jh,0.411620301
3c,4h,Ac,0.411592862
8c,Qh,Th,0.411592862
5s,Ad,Qd,0.411592862
4c,4s,6d,0.411529362
9s,Ac,Kh,0.411517979
8d,As,Ts,0.411487530
8s,Jh,Qs,0.411473423
5c,Ad,Kd,0.411428526
4h,4s,Td,0.411405605
3c,5d,5s,0.411381743
5d,7d,Qd,0.411376683
5s,Ad,Tc,0.411303896
3s,As,Kc,0.411273631
9c,Jd,Td,0.411215120
3d,3h,Ac,0.411215120
5h,6h,Kh,0.411215120
4d,8d,Kd,0.411184902
2c,Ah,Qd,0.411132077
5d,Ah,Qh,0.411102085
6s,Ad,Kh,0.411098364
2h,As,Jh,0.411058953
8d,9c,Ah,0.410991750
8c,Jh,Kc,0.410966528
5d,Ad,Th,0.410950012
3d,Ad,Ks,0.410940903
5h,As,Kc,0.410898356
3h,8h,Qh,0.410887724
2h,6c,6s,0.410884019
5d,Ac,Ks,0.410870834
7h,Ad,Js,0.410836951
3d,3s,6d,0.410801688
4h,4s,Ts,0.410788425
6s,8s,Qs,0.410774283
2d,Ah,Qs,0.410774283
2s,As,Qh,0.410741999
3h,5d,5h,0.410741999
5s,Ks,Qd,0.410726669
5d,Ac,Qd,0.410726669
7d,Ac,Kh,0.410710312
2d,8d,Qd,0.410710312
8c,Ac,Jd,0.410703652
4c,4s,Qd,0.410654928
9c,Js,Qs,0.410637553
3s,9s,Ks,0.410619065
5c,Ah,Js,0.410450452
7h,As,Jh,0.410430769
8h,Jh,Tc,0.410425224
8c,Jd,Qd,0.410417328
8h,Jd,Td,0.410329333
8c,Jh,Kd,0.410329333
4s,Ad,Qc,0.410300791
8d,Ah,Qc,0.410213569
8s,9d,As,0.410198920
8d,Jc,Tc,0.410182033
8c,Jh,Ts,0.410182033
2h,Ac,Kc,0.410148446
3d,Ac,Jd,0.410129824
3c,Jc,Qc,0.410117997
8h,9d,Js,0.410117997
4s,Ks,Ts,0.410099480
5s,6s,Ks,0.410087937
8s,Kc,Qc,0.410040759
4h,9h,Kh,0.410017107
5c,Ah,Jd,0.410017107
9h,Kh,Tc,0.409934911
9d,Ad,Kh,0.409934911
6h,Ac,Qs,0.409921998
4c,4h,5h,0.409879619
3c,Ah,Kc,0.409863254
8s,Qd,Ts,0.409849170
7d,9d,Qd,0.409821956
7d,As,Jd,0.409808804
5c,As,Qc,0.409783362
7d,Ac,Jh,0.409771053
4h,Ad,Jh,0.409712451
6c,Ad,Ts,0.409689390
8h,9d,Ts,0.409678228
3c,Ah,Qh,0.409678228
9d,Jc,Ks,0.409674561
2h,Qh,Th,0.409618406
9h,Ad,Th,0.409618406
4c,4d,8c,0.409618406
6s,Ad,Js,0.409566320
6c,As,Tc,0.409536198
7h,As,Tc,0.409536198
7c,8c,Ad,0.409536198
3c,9c,Qc,0.409531368
9d,Ac,Js,0.409517185
3d,Ad,Kh,0.409481491
6h,Ah,Qd,0.409463076
9d,Qd,Th,0.409463076
4d,4h,Kc,0.409432260
9d,Kc,Qd,0.409396853
5d,Ac,Jh,0.409364488
9d,Ac,Tc,0.409349327
5d,Ah,Tc,0.409277865
4c,Ad,Kc,0.409262817
4h,Ac,Qs,0.409197149
9h,Qd,Ts,0.409155527
3c,3h,Th,0.409138537
8h,Kh,Qc,0.409064898
9c,Jh,Kc,0.409060191
3h,As,Kc,0.409055587
2d,Ac,Jc,0.409029969
3h,Ad,Ks,0.408996171
3d,4c,4d,0.408992052
3c,3s,8c,0.408980252
9s,Kc,Tc,0.408895797
6c,As,Qd,0.408895797
9h,Qc,Ts,0.408877348
8d,As,Jc,0.408817405
4d,4s,Kc,0.408811532
6d,Ac,Jc,0.408809662
7h,9h,Qh,0.408809662
5s,9s,Ks,0.408802579
2s,Ah,Kd,0.408730387
3d,As,Kh,0.408727457
9s,Jc,Kc,0.408725611
3h,As,Ts,0.408721334
2s,Ah,Ks,0.408643571
5d,Ad,Qc,0.408643571
8c,9h,Ac,0.408561710
2c,6c,Kc,0.408560802
8s,Kc,Td,0.408483539
4s,Ad,Jh,0.408480029
2h,5c,5d,0.408474467
6h,Ah,Td,0.408472527
3c,4c,4d,0.408470543
4s,Ah,Kd,0.408468512
3h,3s,5s,0.408403780
5h,Ad,Qs,0.408401182
8h,Ah,Ks,0.408387300
4d,4h,5c,0.408330888
9s,Kd,Qd,0.408317204
4d,Ah,Jd,0.408222244
9c,Jc,Qs,0.408222244
2h,6c,6h,0.408191602
3c,3h,4s,0.408132784
4d,Ac,Js,0.408114671
7c,Ad,Jc,0.408098091
9h,Ad,Js,0.408080438
3s,Js,Qs,0.408055043
6h,Kh,Ts,0.408055043
9c,Jd,Kh,0.408055043
4d,As,Qd,0.408020816
2h,9h,Kh,0.407979206
2h,4h,4s,0.407958000
3d,As,Qs,0.407956244
5c,Ac,Td,0.407896992
4h,Ah,Jd,0.407888594
3d,8d,Kd,0.407871218
4s,Ac,Qs,0.407850221
9d,Jc,Qs,0.407841690
5c,5h,Ks,0.407841690
4s,As,Qh,0.407832172
5c,Kh,Qc,0.407814961
8s,Kd,Qh,0.407805650
7s,8d,Ad,0.407805650
6c,Ac,Qh,0.407805650
8c,Ac,Js,0.407796129
9s,Kd,Qs,0.407786388
8s,9h,Th,0.407762449
9d,As,Th,0.407752882
2d,Ah,Qh,0.407722893
9s,Kc,Ts,0.407683379
8s,Js,Qd,0.407662322
3c,3s,Tc,0.407640321
7s,Ac,Js,0.407605405
9h,Kd,Td,0.407581715
5h,9d,Ad,0.407533062
6s,Ac,Qc,0.407501285
6h,Ad,Th,0.407475731
5d,As,Jd,0.407407522
4h,5d,5h,0.407379589
9c,As,Td,0.407355019
4c,4h,6s,0.407340952
4d,4h,Qs,0.407304845
6c,As,Kh,0.407296845
5h,Ac,Ts,0.407281472
9h,Jd,Tc,0.407261048
6s,9d,As,0.407197991
3s,5c,5h,0.407197075
7h,Jh,Kd,0.407197075
9c,Js,Qc,0.407181318
7c,As,Ts,0.407164255
6d,9c,Ad,0.407134600
9s,Qd,Tc,0.407097086
4d,As,Kd,0.407022377
7c,Kd,Tc,0.407004562
2c,Ad,Qc,0.406967730
3s,Qs,Ts,0.406948686
2h,Ad,Qd,0.406929205
9h,Ah,Qc,0.406929205
8d,Ac,Ts,0.406924500
8c,9s,Th,0.406901906
9d,Ac,Td,0.406883219
4c,Ad,Kh,0.406864126
9d,Qd,Ts,0.406862446
6d,6h,Jc,0.406844614
7h,Kh,Qs,0.406824670
9h,As,Qc,0.406805996
3h,Ah,Kd,0.406804279
9s,Kc,Qd,0.406762094
6h,Ah,Qc,0.406762094
2d,2s,As,0.406747598
3s,Ah,Qs,0.406727299
4s,6s,Qs,0.406727299
9h,Ad,Jc,0.406722828
9h,Js,Qs,0.406701076
6h,Ac,Qc,0.406691348
7c,Kh,Qd,0.406663706
5s,7s,Js,0.406641560
2c,5d,5s,0.406628032
8s,Ad,Td,0.406618912
4c,4h,Tc,0.406572045
5d,9h,Ah,0.406572045
9h,Jh,Td,0.406572045
5c,7s,As,0.406560473
3c,Ac,Qd,0.406560473
3c,Ac,Ks,0.406517359
8d,Qh,Th,0.406512859
7c,As,Kc,0.406479566
4s,5c,Ac,0.406455142
7s,9c,Ah,0.406455142
9d,Ah,Jc,0.406430160
5d,6d,Kd,0.406398841
7s,Ad,Jh,0.406351670
6h,9h,Jh,0.406318295
5c,Ah,Kc,0.406315613
9s,Jh,Kh,0.406292109
6s,Ah,Jd,0.406262703
4c,4h,Qs,0.406262703
6d,Ac,Qd,0.406212632
7c,Ac,Qh,0.406212632
4c,As,Kh,0.406210868
9c,Kd,Ts,0.406186799
8d,Jh,Kd,0.406185057
9s,Kd,Qh,0.406157740
8c,Ks,Ts,0.406133449
3c,3s,6c,0.406083059
4d,4s,Ks,0.406072022
8c,Jc,Qh,0.406072022
9d,Kd,Ts,0.406055287
9h,Ac,Qs,0.406033844
4s,5d,5h,0.406033844
5s,Ac,Kh,0.406005873
9c,As,Ks,0.405977295
6h,9c,Ah,0.405968237
3s,4d,4h,0.405887723
8d,Ks,Tc,0.405775305
8c,Ac,Th,0.405775305
9s,Qs,Td,0.405759458
3d,3h,Td,0.405759458
4c,6c,Ac,0.405742487
3h,Ac,Qc,0.405694280
8s,Kc,Tc,0.405680329
8c,Kc,Th,0.405654281
4d,Ac,Jc,0.405613439
3s,Ad,Kd,0.405601375
9s,Jc,Kd,0.405589856
9h,Jc,Qc,0.405578848
6h,8h,Qh,0.405556592
9c,Js,Qd,0.405512869
7h,Ad,Kd,0.405512869
9d,As,Js,0.405478803
8c,Ks,Tc,0.405461915
4c,4h,9s,0.405436047
4d,4h,Th,0.405415955
6s,8c,Ad,0.405394292
5d,9d,Ah,0.405340719
9c,Js,Kh,0.405329130
2c,Ah,Kd,0.405323732
8s,Jc,Tc,0.405291889
7d,Ks,Qc,0.405261892
7s,8h,9h,0.405257748
6d,7d,9d,0.405250040
5c,Ac,Js,0.405250040
7s,Ah,Ts,0.405214839
5s,Ad,Qs,0.405209200
3d,As,Kc,0.405209200
6s,Ah,Qc,0.405206570
7h,Ac,Qh,0.405173001
4c,Ah,Jh,0.405171124
4h,4s,5h,0.405171124
9h,Qc,Th,0.405171124
7d,Ks,Qd,0.405133156
5c,Ah,Jc,0.405131280
2h,Ac,Jc,0.405092384
6c,9c,Tc,0.405053531
3c,3d,Qd,0.405053531
8s,9d,Kd,0.405015602
3h,5h,Kh,0.405011950
2h,6c,6d,0.404978564
7s,8s,Ac,0.404970350
8d,Jh,Kh,0.404967342
3h,3s,Ah,0.404967342
4c,4d,Jh,0.404942387
8s,Js,Kh,0.404942387
7d,8d,As,0.404931697
5d,Ad,Qh,0.404931697
2c,4c,4d,0.404898542
8h,Ad,Js,0.404862534
6d,Ks,Td,0.404851626
4c,7c,Qc,0.404851626
8h,As,Kd,0.404827370
3d,3s,5s,0.404786247
3c,As,Qs,0.404771735
6s,Ah,Th,0.404763951
8d,Kc,Qc,0.404747190
2h,Ah,Ts,0.404744229
2c,Ah,Qh,0.404718575
5c,Ah,Tc,0.404710125
7h,8c,As,0.404634167
8d,Ac,Kh,0.404612494
3h,3s,Kd,0.404578864
2h,Ah,Qs,0.404566582
4c,4h,9d,0.404566582
6h,7h,Qh,0.404566582
9c,Jd,Ks,0.404558371
7c,Ac,Qs,0.404546048
9s,Jd,Tc,0.404546048
8c,Ac,Kh,0.404500520
4h,4s,8h,0.404482738
9c,Kh,Qd,0.404453969
3c,As,Kc,0.404437610
9d,Js,Ts,0.404422349
9s,Kc,Qc,0.404422349
4h,4s,9c,0.404407268
7d,Ad,Qh,0.404391492
7d,Ac,Qh,0.404344351
3c,3d,Ac,0.404344351
5c,Ah,Qc,0.404320387
6s,8d,Ad,0.404303232
2h,2s,Ad,0.404276957
6h,Ah,Jd,0.404247738
3c,3s,Kh,0.404247738
4h,4s,9d,0.404196443
8d,9s,Ad,0.404167386
7d,Ac,Ts,0.404154901
3s,8s,Qs,0.404133640
6d,Ah,Qs,0.404111393
3c,3s,Qd,0.404111393
8c,Jc,Ts,0.404088089
2h,As,Qs,0.404058058
